temperature_c,humidity_pct,light_lux,soil_moisture_pct,time_of_day,flower_gender,flower_stage,flower_age_hours,wind_speed_mps,readiness
26.87,65.75,25561.1,54.98,morning,male,wilting,5,1.28,0
34.36,68.94,23646.9,67.34,morning,male,wilting,0,3.03,0
31.52,84.18,16279.2,58.13,afternoon,male,fully_open,5,3.14,0
29.78,63.6,36541.5,34.17,early_morning,female,partially_open,3,2.13,0
24.03,84.79,30401.3,39.28,early_morning,male,wilting,3,2.15,0
24.03,53.53,48687.9,40.97,noon,female,fully_open,4,3.04,0
22.76,81.07,9509.2,42.89,afternoon,female,wilting,8,3.27,0
33.26,83.9,38261.8,58.27,noon,female,fully_open,0,1.35,0
29.81,57.27,43858.6,55.2,morning,male,closed,2,3.21,0
31.2,67.21,43695.9,40.16,early_morning,male,closed,3,3.26,0
22.27,56.62,49645.5,33.38,noon,male,fully_open,1,0.94,0
34.61,78.26,42264.6,38.57,noon,male,closed,8,2.87,0
32.82,71.41,51607.1,79.22,early_morning,female,closed,6,0.75,0
24.76,75.41,23634.9,53.43,morning,female,partially_open,0,0.37,0
24.36,57.86,31650.8,73.37,noon,male,closed,8,2.3,0
24.38,58.47,8661.7,72.44,noon,female,partially_open,5,3.63,0
25.96,51.66,8327.0,55.58,afternoon,male,closed,1,0.14,0
28.82,62.88,19286.0,65.33,afternoon,female,closed,0,3.31,0
27.62,72.39,12737.9,39.64,early_morning,male,wilting,5,2.03,0
25.79,84.32,20229.9,64.42,early_morning,female,fully_open,6,3.44,1
29.95,76.68,16321.0,43.62,morning,male,closed,9,3.37,0
23.81,67.42,9340.4,71.6,morning,male,fully_open,5,3.5,0
25.8,88.12,50737.3,34.19,noon,male,fully_open,6,3.08,0
26.76,78.77,8386.5,68.66,afternoon,male,wilting,5,3.37,0
27.93,87.21,42595.9,35.0,morning,female,fully_open,7,0.7,1
32.21,71.1,15151.0,74.06,noon,male,fully_open,1,1.22,0
24.6,60.36,50874.8,45.21,noon,female,closed,8,0.97,0
28.69,52.11,49961.4,62.72,early_morning,female,wilting,8,2.97,0
29.7,79.04,38733.4,54.38,afternoon,female,fully_open,8,0.61,0
22.6,54.85,39595.0,48.32,noon,female,closed,6,0.73,0
29.9,62.11,8250.9,62.27,early_morning,male,wilting,8,3.52,0
24.22,71.3,54289.0,77.38,noon,male,closed,0,2.82,0
22.85,72.58,49258.1,32.06,afternoon,female,wilting,2,3.5,0
34.34,74.02,50070.0,75.94,noon,female,wilting,1,0.56,0
34.55,56.65,38984.5,60.45,noon,female,partially_open,0,1.6,0
32.51,65.19,24205.0,70.37,morning,female,partially_open,4,1.13,0
25.96,74.69,50001.5,49.19,morning,male,partially_open,0,0.04,0
23.27,88.79,21701.3,53.59,early_morning,female,fully_open,2,1.14,0
30.9,79.11,34447.4,73.44,noon,female,closed,5,1.52,0
27.72,86.9,12687.4,50.74,early_morning,male,wilting,5,0.37,0
23.59,80.49,51331.9,56.73,afternoon,female,closed,2,2.27,0
28.44,73.67,14616.2,31.01,early_morning,male,fully_open,3,1.53,0
22.45,57.68,18570.1,37.93,noon,male,partially_open,6,0.19,0
33.82,76.67,34232.3,62.08,morning,female,partially_open,5,2.82,0
25.36,74.94,43912.4,65.85,morning,female,closed,1,2.92,0
30.61,74.1,37109.5,59.13,early_morning,female,closed,8,3.34,0
26.05,69.59,18910.3,37.17,morning,female,wilting,5,1.94,0
28.76,71.15,8044.3,52.27,noon,male,closed,1,3.87,0
29.11,63.38,43586.1,47.75,noon,female,wilting,6,3.66,0
24.4,70.77,54304.7,54.78,afternoon,male,wilting,9,2.21,0
34.6,57.9,46065.9,73.52,morning,male,partially_open,9,1.78,0
32.08,82.21,29629.7,68.79,morning,male,closed,3,0.01,0
34.21,57.43,50477.1,34.2,afternoon,female,partially_open,0,2.84,0
33.63,53.4,27262.8,74.52,early_morning,male,wilting,9,2.26,0
29.77,67.45,32671.9,53.59,afternoon,female,partially_open,8,3.75,0
33.98,76.33,30425.1,67.19,morning,female,partially_open,9,2.38,0
23.15,67.51,29038.3,37.0,early_morning,male,wilting,7,3.97,0
24.55,61.07,44434.0,63.54,noon,female,fully_open,4,3.42,0
22.59,72.33,32758.1,41.82,noon,male,fully_open,2,3.81,0
26.23,63.88,22885.7,51.92,afternoon,male,closed,3,1.31,0
27.05,87.31,20133.4,30.84,noon,female,partially_open,2,0.6,0
25.53,86.91,9774.1,37.58,morning,male,closed,9,3.19,0
32.77,70.09,35410.2,34.6,afternoon,female,partially_open,7,3.14,0
26.64,63.12,18808.2,41.99,morning,female,closed,4,0.85,0
25.65,79.49,14962.3,35.0,morning,male,closed,7,3.06,0
29.06,51.47,38730.0,64.6,early_morning,female,wilting,0,2.33,0
23.83,68.99,40016.8,31.45,early_morning,male,fully_open,8,0.44,0
32.43,63.45,43351.3,60.89,early_morning,male,fully_open,9,2.01,0
22.97,86.82,31668.1,37.04,noon,male,fully_open,2,3.72,0
34.83,50.48,50020.6,77.26,early_morning,male,wilting,0,2.03,0
32.04,72.11,52008.1,76.65,morning,male,fully_open,2,3.15,0
24.58,79.63,45946.4,41.28,afternoon,female,wilting,1,0.12,0
22.07,69.4,37872.9,60.72,afternoon,male,partially_open,6,2.91,0
32.6,53.42,22274.9,31.4,morning,female,wilting,9,3.79,0
31.19,88.9,54198.4,76.59,noon,male,closed,3,2.0,0
31.48,70.72,20884.4,56.15,afternoon,male,closed,6,1.35,0
32.03,74.57,17524.9,32.16,morning,male,partially_open,2,2.59,0
22.96,59.46,28781.2,47.12,morning,female,partially_open,5,3.67,0
26.66,69.34,10671.5,33.84,morning,male,closed,6,0.71,0
23.51,67.17,53989.2,49.65,afternoon,male,fully_open,6,1.61,0
33.22,53.0,35656.4,63.5,afternoon,male,fully_open,4,0.63,0
30.1,54.25,34176.7,53.49,early_morning,female,fully_open,5,1.99,0
26.3,83.5,38822.4,49.19,early_morning,male,partially_open,2,2.16,0
22.83,59.59,31360.1,35.96,morning,female,closed,3,3.78,0
26.04,57.8,9507.0,42.25,morning,male,wilting,5,1.65,0
26.23,70.2,36778.6,35.01,morning,female,partially_open,2,2.27,0
31.48,80.75,41660.2,70.37,morning,male,closed,6,3.54,0
30.29,52.48,27587.2,36.76,afternoon,male,fully_open,2,1.29,0
33.53,73.07,43592.9,59.77,early_morning,male,fully_open,8,2.7,0
28.14,54.77,18669.1,47.14,noon,female,fully_open,3,3.03,0
23.55,51.46,18400.0,41.3,morning,male,closed,1,1.32,0
31.27,52.11,15586.6,61.97,early_morning,female,fully_open,5,0.66,0
31.89,83.37,25483.8,52.85,morning,male,closed,8,2.01,0
29.3,54.72,47809.6,50.01,afternoon,male,partially_open,9,1.43,0
32.02,51.81,46911.9,59.64,noon,male,wilting,9,1.07,0
28.42,67.52,25992.7,54.56,early_morning,male,fully_open,1,3.89,0
28.8,83.76,35688.6,45.17,early_morning,female,partially_open,3,2.01,0
27.56,60.5,41878.4,57.95,noon,female,partially_open,4,3.43,0
22.33,66.87,19336.7,63.47,afternoon,female,closed,8,0.78,0
23.4,51.6,15902.6,31.33,noon,female,partially_open,6,3.76,0
22.41,67.96,53688.5,53.29,early_morning,male,closed,4,3.18,0
30.27,73.1,37025.2,32.88,noon,female,closed,5,3.23,0
26.09,72.84,54126.5,39.32,afternoon,male,partially_open,8,1.56,0
28.61,63.3,23874.5,58.03,afternoon,female,closed,3,1.94,0
33.8,62.62,41042.5,73.31,morning,male,closed,1,2.37,0
25.24,54.26,18462.4,74.14,noon,female,closed,4,3.16,0
27.33,64.67,20276.4,33.5,noon,female,partially_open,6,3.4,0
31.82,53.98,32059.4,50.96,early_morning,female,wilting,3,0.31,0
24.97,80.66,23022.1,59.15,afternoon,male,closed,0,3.62,0
23.0,88.65,15878.2,37.35,noon,male,fully_open,7,3.75,0
25.77,88.8,20355.4,68.27,early_morning,male,partially_open,4,2.37,0
24.1,84.6,9680.2,67.21,morning,female,partially_open,9,0.75,0
34.09,74.03,41107.9,75.17,noon,female,closed,1,3.27,0
32.51,78.03,31129.5,30.42,noon,male,partially_open,2,2.19,0
30.23,61.41,12429.4,40.83,early_morning,male,fully_open,9,3.27,0
33.33,75.23,16069.6,71.36,early_morning,male,wilting,9,3.26,0
32.45,68.23,12819.1,63.53,afternoon,female,partially_open,4,0.35,0
24.43,69.28,36791.9,74.72,afternoon,male,partially_open,3,2.43,0
33.6,80.31,12427.9,32.86,afternoon,female,partially_open,8,1.93,0
29.01,61.28,43451.3,59.85,noon,male,closed,8,3.78,0
