time,temperature,humidity,light_intensity,soil_ph,pollinate
23:20,30.4,85.3,5549,5.1,no
06:50,27.7,75.2,6798,6.5,yes
07:30,23.4,68.6,8645,7.0,no
06:50,27.5,70.3,7058,6.1,yes
00:10,21.7,52.4,1007,7.0,no
21:30,32.8,57.2,9680,7.3,no
06:20,26.2,78.9,7008,6.4,yes
01:50,24.1,56.2,9656,5.0,no
06:50,27.7,70.3,7121,6.0,yes
05:50,30.9,77.1,6054,6.8,no
07:20,27.0,75.3,6181,6.3,yes
00:40,21.7,89.7,9276,7.3,no
19:40,25.6,75.9,9883,6.4,no
07:20,26.6,73.5,4546,6.3,yes
06:20,25.6,75.7,6036,6.5,yes
07:50,27.3,71.2,5461,6.6,yes
06:20,26.7,74.0,5881,6.2,yes
07:20,25.3,72.8,5488,6.5,yes
11:40,23.4,58.6,1388,6.3,no
22:00,25.0,83.8,3418,6.4,no
06:20,26.9,73.3,6194,6.0,yes
14:40,33.2,57.8,1210,6.4,no
19:30,33.6,73.3,9727,5.2,no
13:50,33.4,88.7,5133,5.8,no
09:40,30.5,73.3,2968,5.3,no
06:30,26.6,72.1,6396,6.7,yes
05:50,25.3,74.8,11670,5.2,no
06:40,25.7,74.4,7246,6.2,yes
06:00,25.9,74.8,4638,6.4,yes
06:50,27.4,73.8,5021,6.6,yes
06:40,27.2,77.7,6610,6.5,yes
07:20,27.9,76.4,7859,6.0,yes
07:20,25.8,73.5,7430,6.3,yes
07:10,27.6,71.8,6908,6.4,yes
13:20,32.0,75.0,7740,6.9,no
07:00,27.3,79.7,7009,6.1,yes
05:30,28.9,87.8,4907,5.8,no
00:20,23.1,67.6,4266,7.1,no
13:00,27.6,73.3,7982,6.3,no
06:20,26.9,73.2,5810,6.7,yes
06:40,26.9,76.0,6057,6.6,yes
10:30,22.6,88.0,8158,5.7,no
07:50,26.5,72.5,5673,6.6,yes
07:30,26.6,72.7,7613,6.4,yes
22:40,30.8,84.7,10534,5.1,no
07:20,25.9,73.7,6262,6.6,yes
06:30,26.6,78.8,7865,6.5,yes
06:10,25.6,79.1,6537,6.6,yes
07:40,27.4,79.0,4308,6.5,yes
05:20,29.6,87.6,11732,5.4,no
16:40,35.0,75.4,4082,5.5,no
07:10,26.5,74.0,4190,6.1,yes
03:00,34.9,67.5,6444,7.0,no
07:20,25.8,71.6,5642,6.4,yes
07:30,26.4,72.7,5638,6.3,yes
03:30,20.7,60.2,3798,6.0,no
16:40,26.5,70.0,9537,5.2,no
20:00,25.8,56.2,6089,7.2,no
06:20,21.4,73.7,10564,6.0,no
06:10,27.0,79.6,6736,6.1,yes
06:50,20.6,61.0,5125,5.7,no
07:00,27.7,71.2,6020,6.3,yes
07:30,20.3,76.7,4576,6.6,no
14:50,21.7,71.9,10976,5.6,no
20:30,27.7,86.9,1453,6.6,no
21:10,29.1,60.1,5543,6.8,no
06:30,26.7,71.5,4672,6.5,yes
13:20,28.6,73.8,1714,5.3,no
06:30,25.5,70.6,6968,6.2,yes
09:10,21.0,63.1,5487,6.5,no
03:30,21.4,52.7,7231,5.7,no
07:50,26.2,70.7,6160,6.5,yes
17:50,21.3,84.1,10017,6.3,no
09:00,30.2,70.1,3709,6.5,no
07:50,27.3,75.7,5427,6.7,yes
06:00,26.8,79.9,5834,6.3,yes
07:50,31.9,77.2,5795,6.5,no
07:10,25.8,76.2,7606,6.0,yes
07:20,26.9,74.5,4041,6.0,yes
16:30,22.8,79.9,5861,6.2,no
07:30,26.8,72.0,5900,6.8,yes
06:50,27.0,75.0,4261,6.1,yes
08:30,27.9,88.3,4503,5.3,no
20:30,25.0,56.6,2679,7.0,no
19:10,33.4,51.3,11479,7.5,no
07:00,31.5,84.7,5291,5.5,no
13:00,30.3,75.6,2345,7.0,no
07:40,25.2,76.9,4509,6.6,yes
06:50,25.7,78.4,4261,6.7,yes
11:50,31.4,62.0,3760,5.8,no
20:40,29.1,89.9,4703,6.5,no
01:30,31.6,60.5,1769,6.0,no
07:00,26.6,79.8,6630,6.5,yes
07:30,26.0,79.5,7943,6.7,yes
03:20,32.8,76.4,8769,7.0,no
18:50,31.3,75.8,6474,7.4,no
06:30,25.5,79.2,5159,6.4,yes
14:50,32.7,53.7,9969,7.4,no
11:40,27.4,79.4,9671,7.1,no
11:10,28.9,52.4,2735,7.3,no
06:40,27.4,79.0,4524,6.7,yes
07:30,26.1,73.1,7331,6.2,yes
07:30,27.2,74.8,5005,6.6,yes
13:40,28.2,69.0,3946,5.3,no
07:50,25.1,70.4,5687,6.2,yes
06:30,25.1,76.6,4931,6.0,yes
07:20,27.9,70.0,6742,6.3,yes
06:40,27.7,79.2,6980,6.4,yes
07:50,27.8,70.4,6176,6.5,yes
06:40,27.2,70.4,6463,6.3,yes
06:30,27.0,72.0,6315,6.2,yes
21:50,23.2,88.5,5340,5.4,no
06:50,31.2,51.4,1103,7.4,no
11:30,20.4,80.4,1403,7.2,no
06:30,26.8,72.9,7294,6.0,yes
07:40,25.2,73.3,5320,6.4,yes
17:10,31.9,64.6,2146,5.2,no
