temperature,humidity,light_lux,soil_moisture,flower_stage
27.63,81.12,11034.0,45.73,open
27.62,68.33,14614.0,34.84,open
31.09,71.38,14118.0,41.27,ready
30.99,66.18,9517.0,50.31,closed
26.53,81.51,12791.0,33.88,ready
25.14,76.1,14099.0,49.59,ready
24.53,77.6,12243.0,42.36,ready
24.12,64.5,13283.0,54.07,open
29.91,81.5,13335.0,54.19,ready
27.94,61.85,12705.0,37.87,open
31.48,68.23,11374.0,47.97,open
28.01,66.82,11362.0,42.15,open
30.03,78.61,12740.0,37.79,ready
27.4,64.7,8478.0,47.06,closed
25.34,76.12,11908.0,37.84,open
28.24,68.48,12393.0,30.51,open
25.48,80.6,13902.0,32.2,ready
24.11,67.27,11797.0,52.88,open
26.14,87.8,12559.0,48.89,ready
30.18,76.58,14554.0,53.33,ready
29.17,61.43,12592.0,47.16,open
26.48,62.07,8781.0,30.95,closed
31.66,84.3,9209.0,41.99,closed
24.96,89.4,12140.0,45.42,ready
29.08,62.11,9885.0,33.68,closed
28.2,69.42,9271.0,50.48,closed
24.62,82.16,10032.0,45.67,open
27.36,63.17,10894.0,31.14,open
29.34,80.91,8028.0,43.1,closed
27.8,67.26,9953.0,52.05,closed
30.99,75.8,12758.0,44.89,ready
29.57,72.35,12914.0,32.42,ready
24.39,73.27,14840.0,45.29,ready
26.94,67.14,12998.0,50.83,open
30.98,77.7,13757.0,44.6,ready
30.05,80.96,13959.0,43.43,ready
28.95,65.62,13824.0,44.61,open
31.18,70.21,9044.0,52.3,closed
25.24,71.09,13876.0,31.41,ready
30.56,73.81,10539.0,53.26,open
30.63,78.53,9762.0,33.68,closed
29.83,80.08,14813.0,38.08,ready
31.76,68.07,10074.0,39.87,open
28.57,78.85,11954.0,39.41,open
27.64,73.39,13386.0,45.35,ready
25.05,80.02,9488.0,39.0,closed
30.86,79.02,11211.0,39.86,open
29.42,75.01,12585.0,54.76,ready
30.64,69.16,8960.0,45.03,closed
25.81,60.25,12161.0,41.48,open
26.15,62.35,11666.0,49.76,open
29.34,77.68,10042.0,38.27,open
29.99,76.5,8726.0,52.57,closed
24.96,86.93,9245.0,31.17,closed
29.3,63.21,11490.0,47.36,open
25.13,71.03,14921.0,31.77,ready
30.57,61.55,14108.0,33.89,open
30.19,70.32,14551.0,46.04,ready
25.64,78.7,9044.0,45.39,closed
30.45,76.52,8942.0,55.0,closed
31.87,66.92,9769.0,37.44,closed
30.63,87.12,11746.0,38.37,open
30.4,76.11,9170.0,54.97,closed
28.32,75.81,11882.0,37.05,open
28.77,62.95,12934.0,50.99,open
26.86,67.23,9649.0,31.64,closed
31.46,64.07,10859.0,39.15,open
28.58,76.61,13993.0,42.83,ready
26.68,84.18,12831.0,54.86,ready
28.66,66.96,10236.0,43.06,open
29.53,74.27,11554.0,36.53,open
28.65,70.08,9427.0,41.24,closed
29.05,62.38,10600.0,34.43,open
27.36,85.54,10813.0,50.36,open
29.75,87.23,9047.0,43.62,closed
29.64,63.09,8013.0,40.81,closed
31.38,68.72,14011.0,41.1,open
29.39,80.64,8959.0,37.35,closed
26.31,66.31,11936.0,30.83,open
26.41,72.62,11804.0,50.3,open
28.06,89.01,12301.0,44.6,ready
26.41,64.07,9984.0,46.78,closed
30.82,69.58,8324.0,50.55,closed
24.61,72.81,8525.0,35.2,closed
29.09,68.11,10528.0,45.43,open
24.77,68.57,10467.0,49.8,open
30.89,79.94,12858.0,42.69,ready
27.01,83.05,13424.0,44.46,ready
28.43,87.25,11807.0,32.56,open
28.0,84.32,12102.0,54.0,ready
30.65,85.88,8732.0,49.51,closed
24.87,75.11,10796.0,37.65,open
29.72,64.92,13290.0,44.39,open
25.29,85.95,8250.0,48.61,closed
26.6,89.59,9616.0,36.24,closed
29.98,75.82,9525.0,42.0,closed
25.18,82.25,13250.0,36.59,ready
25.81,76.6,9993.0,39.35,closed
26.71,66.14,9588.0,36.21,closed
25.03,81.85,11212.0,50.31,open
25.69,89.34,10631.0,52.23,open
24.82,73.45,12545.0,39.24,ready
30.09,61.13,12768.0,41.23,open
26.34,83.5,8982.0,49.5,closed
29.53,65.21,9642.0,33.34,closed
26.6,70.41,10217.0,40.96,open
31.74,82.3,10227.0,51.55,open
27.07,67.02,8739.0,54.74,closed
30.37,65.38,8503.0,37.87,closed
28.27,71.95,12771.0,38.56,ready
31.79,87.67,13206.0,38.17,ready
29.15,66.46,13725.0,42.77,open
27.11,64.75,8198.0,48.46,closed
